,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
16,19,Adrienne Lemberger,ADRIENNE LEMBERGER,1,1,1,1,1,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
17,20,Briana Cahn,BRIANA CAHN,2,2,1,1,2,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
18,21,Hayley Wahlroos,HAYLEY WAHLROOS,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
19,22,Katie Swinnerton,KATIE SWINNERTON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
20,23,Sabrina Fong,SABRINA FONG,0,0,2,2,1,4,4,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
21,24,Natasha Won,NATASHA WON,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
22,25,Audrey Wei,AUDREY WEI,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
23,27,Kira Lou,KIRA LOU,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
24,42,Jackelyne Nguyen,JACKELYNE NGUYEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
25,47,Bethany Kaylor,BETHANY KAYLOR,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
26,88,Alina Kagan,ALINA KAGAN,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
0,2,Jessica Ledonne,JESSICA LEDONNE,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
1,3,Liza Minor,LIZA MINOR,2,2,1,1,3,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
2,5,Rose Glinka,ROSE GLINKA,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
3,7,Austin Prucha,AUSTIN PRUCHA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
4,8,Adrienne Wells,ADRIENNE WELLS,1,1,0,0,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
5,10,Alison Vandegrift,ALISON VANDEGRIFT,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
6,11,Melissa Gibbs,MELISSA GIBBS,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
7,12,Jasmine Draper-Matthew,JASMINE DRAPER-MATTHEW,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
8,13,Brittney Kokinos,BRITTNEY KOKINOS,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
