,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
1,,Caitlin Lisk,Defense (Cutter),,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,CAITLIN LISK
2,,Christina Baker,Handler,,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,CHRISTINA BAKER
3,,Courtney Walbe,Defense (Handler),"5'2""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,COURTNEY WALBE
4,,Stephanie Rupp,Handler,"5'5""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,STEPHANIE RUPP
5,,Taylor Simpson,Cutter,"6'1""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,TAYLOR SIMPSON
6,0.0,Grace Castro,,,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,GRACE CASTRO
7,0.0,Ashley Newson,,,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,ASHLEY NEWSON
8,0.0,Hannah Volpert-Esmond,,,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,HANNAH VOLPERT-ESMOND
9,0.0,Jill Iwanski,Handler/Cutter,"5'5""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,JILL IWANSKI
10,0.0,Kendra Norton,,,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,KENDRA NORTON
11,0.0,Laurel Thompson,,,,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,LAUREL THOMPSON
12,11.0,Jordan Warren,Cutter,"5'4""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,JORDAN WARREN
13,13.0,Malaina Piyassaphan,Mid,,,2.0,,2.0,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,MALAINA PIYASSAPHAN
14,14.0,Janani Ragothaman,Cutter,,1.0,,,1.0,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,JANANI RAGOTHAMAN
15,14.0,Sowmya Ragothaman,,"5'1""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,SOWMYA RAGOTHAMAN
