,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
15,24,Taiyo Arakawa,Mid,,26.0,2.0,1.0,1.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,TAIYO ARAKAWA
16,30,Bryan Cheng,Mid,,,,,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,BRYAN CHENG
17,44,Kazutoshi Takeuchi,Mid,,,,,1.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,KAZUTOSHI TAKEUCHI
18,81,Masatsune Miyazaki,Mid,,,,,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,MASATSUNE MIYAZAKI
19,88,Ryoma Katsuta,Handler,,2.0,5.0,,2.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,RYOMA KATSUTA
20,97,Keiichiro Shiba,Handler,,10.0,7.0,1.0,3.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,KEIICHIRO SHIBA
0,0,Bob Liu,Handler,"5'8""",1.0,1.0,,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,BOB LIU
1,1,Simon Higgins,Deep,,,,,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,SIMON HIGGINS
2,2,Julian Childs-Walker,,,,,,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,JULIAN CHILDS-WALKER
3,3,Andrew Moore,Defense (Cutter),"6'0""",3.0,1.0,2.0,3.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,ANDREW MOORE
4,5,Danny Miesen,,"5'11""",1.0,1.0,1.0,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,DANNY MIESEN
