,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,15,4,15,8,11,Pittsburgh Temper,15,2,PoNY,9,/teams/events/match_report/?EventGameId=LFj5SZpYWJzOnkpjmPIeMmKlVrwhBU%2bnD163%2b7XC8BA%3d
1,8,0,8,15,2,PoNY,8,11,Pittsburgh Temper,14,/teams/events/match_report/?EventGameId=LFj5SZpYWJzOnkpjmPIeMmKlVrwhBU%2bnD163%2b7XC8BA%3d
0,14,7,14,11,13,Furious George,14,12,SoCal Condors,8,/teams/events/match_report/?EventGameId=j7J7YvsWmqY6Vi%2fC%2fuElqhwxpYO5%2bdYUolpGpGDzcHA%3d
1,11,6,11,14,12,SoCal Condors,11,13,Furious George,11,/teams/events/match_report/?EventGameId=j7J7YvsWmqY6Vi%2fC%2fuElqhwxpYO5%2bdYUolpGpGDzcHA%3d
0,15,3,15,10,2,PoNY,15,6,Chicago Machine,6,/teams/events/match_report/?EventGameId=w8%2fZL6qTm7GsgVieeCLcIPH5oOls17p31W9Qr%2fItBwg%3d
1,10,1,10,15,6,Chicago Machine,10,2,PoNY,10,/teams/events/match_report/?EventGameId=w8%2fZL6qTm7GsgVieeCLcIPH5oOls17p31W9Qr%2fItBwg%3d
0,14,3,14,13,4,Ring of Fire,14,1,Sockeye,4,/teams/events/match_report/?EventGameId=i76UPiyhnUQR%2fUmDfYLYuqVUrvEp6Auqii24KrCfKwg%3d
1,13,3,13,14,1,Sockeye,13,4,Ring of Fire,5,/teams/events/match_report/?EventGameId=i76UPiyhnUQR%2fUmDfYLYuqVUrvEp6Auqii24KrCfKwg%3d
0,15,2,15,12,8,DiG,15,16,Rhino Slam!,3,/teams/events/match_report/?EventGameId=bFiTblPZ3b16VX%2brpTcycLW8crAxNGLkyqDIdbT39ck%3d
1,12,1,12,15,16,Rhino Slam!,12,8,DiG,5,/teams/events/match_report/?EventGameId=bFiTblPZ3b16VX%2brpTcycLW8crAxNGLkyqDIdbT39ck%3d
0,15,8,15,5,16,Rhino Slam!,15,4,Ring of Fire,11,/teams/events/match_report/?EventGameId=Q29eg3o6yxg7BtKXUlLBkc7aDauLVJ6thqzUqSKK9g0%3d
1,5,4,5,15,4,Ring of Fire,5,16,Rhino Slam!,20,/teams/events/match_report/?EventGameId=Q29eg3o6yxg7BtKXUlLBkc7aDauLVJ6thqzUqSKK9g0%3d
0,15,4,15,8,13,Furious George,15,8,DiG,4,/teams/events/match_report/?EventGameId=iD2OpIskQ86sIiiIfXWN3kFOrub4dH91jw6sj3A50%2fA%3d
1,8,1,8,15,8,DiG,8,13,Furious George,9,/teams/events/match_report/?EventGameId=iD2OpIskQ86sIiiIfXWN3kFOrub4dH91jw6sj3A50%2fA%3d
0,15,2,14,7,10,GOAT,15,3,Truck Stop,2,/teams/events/match_report/?EventGameId=z4s9Eh8aFYBIobesfQ%2b1Tthor3B1fke5agqe93D2c%2bM%3d
1,7,0,7,15,3,Truck Stop,7,10,GOAT,7,/teams/events/match_report/?EventGameId=z4s9Eh8aFYBIobesfQ%2b1Tthor3B1fke5agqe93D2c%2bM%3d
0,11,3,11,15,16,Rhino Slam!,11,9,Doublewide,11,/teams/events/match_report/?EventGameId=XhiMl6V%2bjSbzjTFJH830ILetX4dr%2fl7nrtcUy%2fgnLwM%3d
