,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
17,24,Henry Babcock,,,10.0,10.0,,4.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,HENRY BABCOCK
18,25,Ilya Yudkovich,Handler,"5'9""",1.0,1.0,,1.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,ILYA YUDKOVICH
19,31,Ben Krupp,,,1.0,,1.0,1.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,BEN KRUPP
20,32,Spencer Diamond,,,1.0,,,2.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,SPENCER DIAMOND
21,33,Michael Dillard,,,,,,1.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,MICHAEL DILLARD
22,42,Brent Lo,Defense (Cutter),"5'11""",,1.0,3.0,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,BRENT LO
23,44,Tyler Chan,Deep,"6'0""",3.0,9.0,,2.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,TYLER CHAN
24,65,Topher Davis,,,1.0,,1.0,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,TOPHER DAVIS
25,97,Alex Dagley,,"6'1""",,1.0,,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,ALEX DAGLEY
26,99,Joshua Markette,,,8.0,17.0,1.0,9.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,JOSHUA MARKETTE
0,0,Jonathan Helton,Mid,"6'0""",11.0,8.0,1.0,6.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,JONATHAN HELTON
1,1,Michael Kiyoi,,"5'10""",2.0,1.0,,2.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,MICHAEL KIYOI
2,2,Sean Ham,,,11.0,2.0,1.0,2.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,SEAN HAM
3,3,Michael Tran,Handler,"5'10""",2.0,9.0,1.0,8.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,MICHAEL TRAN
4,4,Scott Radlauer,Defense (Cutter),"6'1""",,1.0,1.0,,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,SCOTT RADLAUER
5,6,Nathan Bridges,,,2.0,,2.0,2.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,NATHAN BRIDGES
6,8,Nathan Ransom,,,1.0,,,,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,NATHAN RANSOM
7,9,Maxwell Hume,,,2.0,,2.0,3.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,MAXWELL HUME
8,10,Sean McDougall,Deep,"6'0""",5.0,5.0,1.0,,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,SEAN MCDOUGALL
9,11,Steven Milardovich,,,1.0,3.0,1.0,5.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,STEVEN MILARDOVICH
10,13,Mark Leggio,Dump,"1'4""",3.0,8.0,1.0,4.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,MARK LEGGIO
11,14,William Turner,Handler,"5'11""",1.0,,3.0,1.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,WILLIAM TURNER
12,16,Zach Theodore,,,1.0,,,,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,ZACH THEODORE
13,17,Kenrick Koo,,,5.0,,1.0,4.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,KENRICK KOO
14,18,Kyle Rubin,,"5'10""",1.0,1.0,,1.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,KYLE RUBIN
15,19,Jeff Silverman,,,3.0,1.0,3.0,2.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,JEFF SILVERMAN
16,22,Wesley Groth,Cutter,"6'2""",2.0,5.0,1.0,2.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,WESLEY GROTH
17,24,David Ritchie,,,,1.0,,,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,DAVID RITCHIE
18,28,Bailey Wu,,,1.0,,1.0,,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,BAILEY WU
19,34,Jacob Bartholomew,,,3.0,2.0,3.0,1.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,JACOB BARTHOLOMEW
20,42,Marcel Osborne,Dump,"1'0""",8.0,1.0,,3.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,MARCEL OSBORNE
21,44,Tim Okita,Dump,"5'8""",1.0,5.0,1.0,2.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,TIM OKITA
22,55,Tyler Bacon,,"5'8""",3.0,6.0,2.0,6.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,TYLER BACON
23,80,Travis Dunn,,,9.0,5.0,,10.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,TRAVIS DUNN
24,81,Calvin Brown,,"6'1""",3.0,9.0,3.0,7.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,CALVIN BROWN
25,84,Jesse Cohen,Mid,"6'0""",7.0,8.0,3.0,4.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,JESSE COHEN
26,88,Samuel Fontaine,Handler/Cutter,"5'11""",3.0,10.0,1.0,4.0,/events/teams/?EventTeamId=gK%2f5oMD%2fNIeRr1Mmqxwyr0Hk%2bPGwvaz8bEsUR%2bbDOaQ%3d,SoCal Condors,12,SAMUEL FONTAINE
0,0,Robbie Brennan,,,3.0,3.0,1.0,,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,ROBBIE BRENNAN
1,1,William Vu,Handler,"6'3""",3.0,11.0,6.0,8.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,WILLIAM VU
2,5,Ty Barbieri,,,12.0,1.0,1.0,6.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,TY BARBIERI
3,6,Andre Gailits,,,5.0,8.0,,11.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,ANDRE GAILITS
4,7,Charles Eyrich,Defense (Cutter),,2.0,,,2.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,CHARLES EYRICH
5,8,Morgan Hibbert,,,7.0,2.0,1.0,2.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,MORGAN HIBBERT
6,9,Brayden Gee,,"5'9""",5.0,,1.0,4.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,BRAYDEN GEE
7,11,Ari Nitikman,,,4.0,2.0,,1.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,ARI NITIKMAN
8,12,Patrick Baylis,,,5.0,4.0,3.0,4.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,PATRICK BAYLIS
9,14,Cole Keffer,Cutter,"1'0""",5.0,2.0,1.0,3.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,COLE KEFFER
10,16,Tim Tsang,,,6.0,12.0,2.0,11.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,TIM TSANG
11,17,Mathew Goodkey,,"6'0""",1.0,,,,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,MATHEW GOODKEY
12,21,Andrew Dick,,,1.0,1.0,1.0,,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,ANDREW DICK
13,23,Fred Lam,Defense (Cutter),"6'1""",,2.0,2.0,1.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,FRED LAM
14,24,Peter Yu,Handler,"5'7""",2.0,4.0,4.0,,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,PETER YU
15,27,Alexander Davis,Defense (Cutter),"6'2""",,,,,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,ALEXANDER DAVIS
16,44,Devon Thomson,Cutter,"5'10""",1.0,,,2.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,DEVON THOMSON
17,45,Malcolm Bryson,,,2.0,6.0,5.0,9.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,MALCOLM BRYSON
18,50,Jonah Lee-Ash,Cutter,"6'1""",4.0,2.0,,3.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,JONAH LEE-ASH
19,68,David Neilson,Defense (Cutter),"6'4""",,1.0,,,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,DAVID NEILSON
20,77,Hugh Knapp,,,,3.0,,4.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,HUGH KNAPP
