,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
3,6,Samantha Peletier,,,5.0,,2.0,1.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,SAMANTHA PELETIER
4,7,Paige Applegate,,"5'7""",1.0,4.0,2.0,9.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,PAIGE APPLEGATE
5,8,Manuela Cardenas,,,2.0,6.0,5.0,8.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,MANUELA CARDENAS
6,10,Chelsea Twohig,,"5'6""",2.0,,,,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,CHELSEA TWOHIG
7,11,Megan Henderson,,,4.0,2.0,2.0,5.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,MEGAN HENDERSON
8,12,Liz Narmour,,"5'5""",3.0,,1.0,1.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,LIZ NARMOUR
9,13,Alika Johnston,,"5'4""",2.0,7.0,2.0,5.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,ALIKA JOHNSTON
10,15,Sara Taggart,,,,6.0,1.0,4.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,SARA TAGGART
11,17,Emma Capra,,"5'6""",,1.0,1.0,1.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,EMMA CAPRA
12,22,Allysha Dixon,,"5'3""",5.0,1.0,2.0,2.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,ALLYSHA DIXON
13,26,Lisa Pitcaithley,,"3'5""",2.0,7.0,6.0,10.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,LISA PITCAITHLEY
14,28,Stephanie Pritchard,,"5'8""",6.0,1.0,,1.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,STEPHANIE PRITCHARD
15,30,Melissa Devlin,,,2.0,2.0,,6.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,MELISSA DEVLIN
16,33,Bert Abbott,Defense (Handler),"5'6""",1.0,3.0,4.0,10.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,BERT ABBOTT
17,36,Sophie Taylor,,,1.0,1.0,1.0,3.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,SOPHIE TAYLOR
